text,sentiment
boss er eta to masti chiloooo 🥳,positive
assignment ta mone hoy average choltese,neutral
Bossssss er moderate thaake,neutral
bus e ekdom boring atke gelam ❌,negative
Traffic ta khub moderate kora hoy nai 😂,neutral
Ei puro op dekha jabe 😍,positive
Review ta bhalo palam!!,positive
Amar onekta faltu hoilo na 🤮,negative
trafficccc ta asolei super enjoy korlam 🙄,positive
Exam er ar ki tension er atke gelam 👎,negative
Codinggg ta irritating chinta hocche 💔,negative
Result ta lit cupai gelo 🥰,positive
Friend ra thik e ache asol,neutral
Chayer adda ta asolei birokto baje lagse 💔,negative
ei matha betha hoye gelo,negative
coding ta dekhi slow hoye gelo 👎,negative
ei ekdom chomokdar dekha jabe 💥 😅,positive
Class er dekhi ok ache hoy,neutral
Traffic ta puro ekdom fresh enjoy korlam ✨,positive
Oir puro chomokdar chilo,positive
chayer adda ta puro normal choltese,neutral
class er mind blowing laglo ✅,positive
friend ra extreme pelam 🔥,positive
family te shunlam ekdom fresh cupai gelo 🥳,positive
weather ta mone hoy onno rokom dekha jabe,positive
amar mama onno rokom enjoy korlam 😍,positive
Oir thikkk e ache asol,neutral
Ajker mone hoy slow baje lagse,negative
Eid er plan khub tension er khub khrp 🤬,negative
Eid er plan jossh cupai gelo,positive
coding ta thik e ache asol 😅,neutral
coding ta shunlam common kora hoy nai,neutral
job ta asolei bhalo palam 🙌,positive
Internet ta bas moderate asol,neutral
weather ta ar ki parlam na khb khrp 😭,negative
Vibe ta ekdom heavy enjoy korlam,positive
Job ta lit cupai gelo 😍,positive
Movie ta eta to just okay choltese,neutral
Result ta khuuub normal mathay nai,neutral
sokal ta ar ki chalai neya jay choltese,neutral
oir shunlam faka chinta hocche 🤮!!,negative
Bus e ar ki thik thak mathay nai,neutral
bazar e ki bolbooo puro baje atke gelam 💔!!,negative
Laptop ta waste of time atke gelam ❌!!,negative
Traffic ta dekhi useless atke gelam ❌,negative
Movie ta vibe ta birokto hoye gelo 😭???,negative
Amar puro masti laglo 🔥 ...,positive
sokal ta ar ki moderate thaake 😂,neutral
ajker shunlam matha betha hoye gelo,negative
Laptop ta vibe ta kopa chilo ❤️,positive
Eid er plan ghatiya baje lagse,negative
Job ta onkta ok ache hoy,neutral
amar dekhi parlam na hoilo na???,negative
eid er plan extreme dekha jabe 🥰 ...,positive
Result ta vabi nai moderate kora hoy nai,neutral
weather ta ki bolbo common asol,neutral
Laptop ta puro common hoy 🙄,neutral
khawa ta dekhi op laglo 😍,positive
Bazar e ekdom kono rokom choltese 🙄,neutral
Boss er shunlam faltu atke gelam 🤬,negative
Traffic ta jossh laglo!!,positive
Amar boring khb kharaaap 🤬 :),negative
Bus e moderate asol 😂,neutral
phone ta bas chomokdar palam ❤️,positive
ajker ar ki mojadar laglo ❤️ ...,positive
Amar eta to slow hoye gelo 🤬!!,negative
Exam er fire enjoy korlam,positive
Boss er so-so thaake,neutral
phone ta ar ki super chilo,positive
Oir masti laglo,positive
Eid er plan onekkkta just okay choltese!!,neutral
amar op pelam ✅ 🙄,positive
Review ta puro mojadar laglo 🔥 ...,positive
job ta vabi nai fatafati dekha jabe 🙌!!,positive
Laptop ta ki bolbo super pelam,positive
Chayer adda ta extreme enjoy korlam 💥,positive
Gaan ta dekhi faltu atke gelam 🤬,negative
Chayer adda ta moderate choltese ...,neutral
Gaan ta birokto gelo 💔,negative
weather ta dekhi shanti laglo 🥰???,positive
Traffic ta ar ki heavy enjoy korlam 🔥 😅,positive
Gaan ta ekdom chalai neya jay mathay nai ...,neutral
phoneeeee ta onekta blo enjoy korlam,positive
movie ta thik thak mathay nai 😅,neutral
result ta asolei puro baje hoye gelo 🙄,negative
Sokal ta just okay thaake ...,neutral
Phone ta puro extreme palam 😂,positive
ajker mama puro baje atke gelam ❌,negative
Match ta disgustingggg atke gelam 😅,negative
Job ta vibe ta matha betha khuuub khrp 👎,negative
traffic ta shunlam tension er baje lagse 🙄,negative
